"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"DBM_OnlinePlayer_Text","Online Player:","Online Player:","Online hráč:","Online-Spieler:","Онлайн-плеер:","Gracz online:","Online játékos:","Giocatore online:","Jugador en línea:","Joueur en ligne:","在線播放器：","オンラインプレイヤー：","Jogador Online:","在线播放器：",
"DBM_ADD","Add","Add","Přidat","Hinzufügen","Добавить","Dodaj","Hozzáadás","Inserisci","Añadir","Ajouter","加","追加","Adicionar","加",
"DBM_Remove","Remove","Remove","Odstranit","Entfernen","удалять","Usunąć","Eltávolítás","Rimuovere","Eliminar","Retirer","去掉","削除する","Remover","去掉",
"DBM_Search","Search:","Search:","Vyhledávání:","Suchen:","Поиск:","Szukaj:","Keresés:","Ricerca:","Buscar:","Chercher:","搜索：","探す：","Procurar:","搜索：",
"DBM_TEXTRANGEMARKER","Range of Party Marker:","Range of Party Marker:","Rozsah značky strany:","Reichweite der Party Marker:","Диапазон маркера вечеринки:","Zasięg znacznika drużyny:","Party Marker tartomány:","Gamma di pennarelli per feste:","Rango de marcador de fiesta:","Gamme de marqueur de fête:","派對標記範圍：","パーティーマーカーの範囲：","Faixa do marcador de festa:","派对标记范围：",
"DBM_INFOTEXT","Info: If you put 0 in the Range value you see unlimted distance.","Info: If you put 0 in the Range value you see unlimted distance.","Info: Pokud vložíte 0 do hodnoty Range, uvidíte neomezenou vzdálenost.","Info: Wenn Sie 0 in den Bereichswert eingeben, sehen Sie die Marker auf unbegrenzte Entfernung.","Информация: если вы поместите 0 в значение диапазона, вы увидите неограниченное расстояние.","Informacja: Jeśli wpiszesz 0 w wartość zakresu, zobaczysz nieograniczoną odległość.","Információ: Ha a 0 értéket beírja a Range értékbe, akkor láthatja a kötetlen távolságot.","Info: se metti 0 nel valore di Range, vedi la distanza illimitata.","Información: Si pone 0 en el valor de Rango, verá una distancia ilimitada.","Info: Si vous mettez 0 dans la valeur Range, vous voyez une distance illimitée.","信息：如果在範圍值中輸入0，則會看到未限制的距離。","情報：範囲の値に0を入力すると、距離に制限がなくなります。","Informação: Se você colocar 0 no valor do intervalo, verá uma distância ilimitada.","信息：如果在范围值中输入0，则会看到未限制的距离。",
"DBM_PartyNotify","Disable Party Notify","Disable Party Notify","Zakázat upozornění strany","Party-Benachrichtigung deaktivieren","Отключить уведомление о вечеринке","Wyłącz powiadomienie o grupie","A Party Notify kikapcsolása","Disabilita la notifica alla parte","Desactivar notificación de fiesta","Désactiver la notification de partie","停用聚會通知","パーティー通知を無効にする","Desativar Notificação de Parte","停用聚会通知",
"DBM_TacticalPing","Disable Tactical Ping Maker","Disable Tactical Ping Maker","Zakažte Tactical Ping Maker","Deaktivieren Sie Tactical Ping Maker","Отключить Tactical Ping Maker","Wyłącz taktyczny Ping Maker","A taktikai ping-készítő letiltása","Disabilita Tactical Ping Maker","Deshabilitar Tactical Ping Maker","Désactiver le fabricant de ping tactique","禁用戰術Ping製作器","戦術Pingメーカーを無効にする","Desativar Tactical Ping Maker","禁用战术Ping制作器",
"DBM_Party_OnlinePlayers","Online Players","Online Players","Online hráči","Online-Spieler","Интернет-игроки","Gracze online","Online játékosok","Giocatori online","Jugadoras en linea","Joueurs en ligne","在線玩家","オンラインプレイヤー","Jogadores Online","在线玩家",
"DBM_Settings","Settings:","Settings:","Nastavení:","Einstellungen:","Настройки:","Ustawienia:","Beállítások:","Impostazioni:","Configuraciones:","Paramètres:","設定：","設定：","Configurações:","设定：",